,tracks,playlist,danceability,acousticness,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,analysis,Add
0,2minMS5FmStk1UeGDiwAi4,0,0.355,0.125,376000,0.6659999999999999,2.19e-06,8,0.147,-6.064,0,0.0653,165.83900000000003,4,0.348,"AudioFeatures with fields:
  acousticness = 0.125
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/2minMS5FmSt...'
  danceability = 0.355
  duration_ms = 376000
  energy = 0.666
  id = '2minMS5FmStk1UeGDiwAi4'
  instrumentalness = 2.19e-06
  key = 8
  liveness = 0.147
  loudness = -6.064
  mode = 0
  speechiness = 0.0653
  tempo = 165.839
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/2minMS5FmStk1UeGDiwAi4'
  type = 'audio_features'
  uri = 'spotify:track:2minMS5FmStk1UeGDiwAi4'
  valence = 0.348",True
1,1sZonxsyhGgySb3V2cEql8,0,0.715,0.084,232560,0.6659999999999999,1.28e-06,1,0.38,-5.715,0,0.0297,124.99799999999999,4,0.9009999999999999,"AudioFeatures with fields:
  acousticness = 0.084
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/1sZonxsyhGg...'
  danceability = 0.715
  duration_ms = 232560
  energy = 0.666
  id = '1sZonxsyhGgySb3V2cEql8'
  instrumentalness = 1.28e-06
  key = 1
  liveness = 0.38
  loudness = -5.715
  mode = 0
  speechiness = 0.0297
  tempo = 124.998
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/1sZonxsyhGgySb3V2cEql8'
  type = 'audio_features'
  uri = 'spotify:track:1sZonxsyhGgySb3V2cEql8'
  valence = 0.901",True
2,3jtKSUiVDowKNBqVQbWaig,0,0.616,0.401,253773,0.525,0.000484,7,0.309,-7.065,1,0.0258,79.976,4,0.42700000000000005,"AudioFeatures with fields:
  acousticness = 0.401
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/3jtKSUiVDow...'
  danceability = 0.616
  duration_ms = 253773
  energy = 0.525
  id = '3jtKSUiVDowKNBqVQbWaig'
  instrumentalness = 0.000484
  key = 7
  liveness = 0.309
  loudness = -7.065
  mode = 1
  speechiness = 0.0258
  tempo = 79.976
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/3jtKSUiVDowKNBqVQbWaig'
  type = 'audio_features'
  uri = 'spotify:track:3jtKSUiVDowKNBqVQbWaig'
  valence = 0.427",True
3,0Vjckx1G9Nt1S4GVfVKEdo,0,0.507,0.795,146819,0.21899999999999997,0.0,0,0.192,-10.245999999999999,1,0.0334,179.66099999999997,4,0.608,"AudioFeatures with fields:
  acousticness = 0.795
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/0Vjckx1G9Nt...'
  danceability = 0.507
  duration_ms = 146819
  energy = 0.219
  id = '0Vjckx1G9Nt1S4GVfVKEdo'
  instrumentalness = 0
  key = 0
  liveness = 0.192
  loudness = -10.246
  mode = 1
  speechiness = 0.0334
  tempo = 179.661
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/0Vjckx1G9Nt1S4GVfVKEdo'
  type = 'audio_features'
  uri = 'spotify:track:0Vjckx1G9Nt1S4GVfVKEdo'
  valence = 0.608",False
4,1H31HxfIHETvrQ02nWpsLO,0,0.418,0.727,227553,0.537,0.0,11,0.377,-7.769,0,0.0455,132.749,3,0.693,"AudioFeatures with fields:
  acousticness = 0.727
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/1H31HxfIHET...'
  danceability = 0.418
  duration_ms = 227553
  energy = 0.537
  id = '1H31HxfIHETvrQ02nWpsLO'
  instrumentalness = 0
  key = 11
  liveness = 0.377
  loudness = -7.769
  mode = 0
  speechiness = 0.0455
  tempo = 132.749
  time_signature = 3
  track_href = 'https://api.spotify.com/v1/tracks/1H31HxfIHETvrQ02nWpsLO'
  type = 'audio_features'
  uri = 'spotify:track:1H31HxfIHETvrQ02nWpsLO'
  valence = 0.693",True
5,3TIeBL7HhoIzqMVKAic32P,0,0.627,0.44799999999999995,289707,0.495,0.0,2,0.124,-4.466,1,0.0284,136.975,3,0.7490000000000001,"AudioFeatures with fields:
  acousticness = 0.448
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/3TIeBL7HhoI...'
  danceability = 0.627
  duration_ms = 289707
  energy = 0.495
  id = '3TIeBL7HhoIzqMVKAic32P'
  instrumentalness = 0
  key = 2
  liveness = 0.124
  loudness = -4.466
  mode = 1
  speechiness = 0.0284
  tempo = 136.975
  time_signature = 3
  track_href = 'https://api.spotify.com/v1/tracks/3TIeBL7HhoIzqMVKAic32P'
  type = 'audio_features'
  uri = 'spotify:track:3TIeBL7HhoIzqMVKAic32P'
  valence = 0.749",True
6,1qfanYrmrh7xDSvt15acZ3,0,0.805,0.0578,354240,0.742,0.000482,0,0.361,-6.3660000000000005,0,0.0396,111.98100000000001,4,0.7170000000000001,"AudioFeatures with fields:
  acousticness = 0.0578
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/1qfanYrmrh7...'
  danceability = 0.805
  duration_ms = 354240
  energy = 0.742
  id = '1qfanYrmrh7xDSvt15acZ3'
  instrumentalness = 0.000482
  key = 0
  liveness = 0.361
  loudness = -6.366
  mode = 0
  speechiness = 0.0396
  tempo = 111.981
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/1qfanYrmrh7xDSvt15acZ3'
  type = 'audio_features'
  uri = 'spotify:track:1qfanYrmrh7xDSvt15acZ3'
  valence = 0.717",True
7,6IfB62hGSt2t7RopZxDb01,0,0.306,0.384,328128,0.76,9.940000000000002e-05,7,0.366,-8.805,0,0.0999,94.992,4,0.33,"AudioFeatures with fields:
  acousticness = 0.384
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/6IfB62hGSt2...'
  danceability = 0.306
  duration_ms = 328128
  energy = 0.76
  id = '6IfB62hGSt2t7RopZxDb01'
  instrumentalness = 9.94e-05
  key = 7
  liveness = 0.366
  loudness = -8.805
  mode = 0
  speechiness = 0.0999
  tempo = 94.992
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/6IfB62hGSt2t7RopZxDb01'
  type = 'audio_features'
  uri = 'spotify:track:6IfB62hGSt2t7RopZxDb01'
  valence = 0.33",True
8,7Hm5FQw1NQtfnTI7JUExaP,0,0.711,0.25,240017,0.6729999999999999,0.0,5,0.214,-5.89,0,0.0336,109.992,4,0.39299999999999996,"AudioFeatures with fields:
  acousticness = 0.25
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/7Hm5FQw1NQt...'
  danceability = 0.711
  duration_ms = 240017
  energy = 0.673
  id = '7Hm5FQw1NQtfnTI7JUExaP'
  instrumentalness = 0
  key = 5
  liveness = 0.214
  loudness = -5.89
  mode = 0
  speechiness = 0.0336
  tempo = 109.992
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/7Hm5FQw1NQtfnTI7JUExaP'
  type = 'audio_features'
  uri = 'spotify:track:7Hm5FQw1NQtfnTI7JUExaP'
  valence = 0.393",True
9,1kcV2LJxt5v0s2cEGtEJ5i,0,0.647,0.657,268833,0.6559999999999999,0.00016299999999999998,11,0.34299999999999997,-8.632,1,0.0354,119.965,4,0.45299999999999996,"AudioFeatures with fields:
  acousticness = 0.657
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/1kcV2LJxt5v...'
  danceability = 0.647
  duration_ms = 268833
  energy = 0.656
  id = '1kcV2LJxt5v0s2cEGtEJ5i'
  instrumentalness = 0.000163
  key = 11
  liveness = 0.343
  loudness = -8.632
  mode = 1
  speechiness = 0.0354
  tempo = 119.965
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/1kcV2LJxt5v0s2cEGtEJ5i'
  type = 'audio_features'
  uri = 'spotify:track:1kcV2LJxt5v0s2cEGtEJ5i'
  valence = 0.453",True
