playlist,danceability,acousticness,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,analysis,like
Dont,0.642,0.216,325930,0.911,0.000148,10,0.102,-3.322,0,0.156,170.015,4,0.61,"AudioFeatures with fields:
  acousticness = 0.216
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/0SSLKt27B0a...'
  danceability = 0.642
  duration_ms = 325930
  energy = 0.911
  id = '0SSLKt27B0a71OqsPy0uoY'
  instrumentalness = 0.000148
  key = 10
  liveness = 0.102
  loudness = -3.322
  mode = 0
  speechiness = 0.156
  tempo = 170.015
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/0SSLKt27B0a71OqsPy0uoY'
  type = 'audio_features'
  uri = 'spotify:track:0SSLKt27B0a71OqsPy0uoY'
  valence = 0.61",0
Dont,0.776,0.0376,284600,0.696,0.0,0,0.128,-5.51,0,0.0377,143.023,4,0.895,"AudioFeatures with fields:
  acousticness = 0.0376
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/4tKCjAC5doj...'
  danceability = 0.776
  duration_ms = 284600
  energy = 0.696
  id = '4tKCjAC5dojOLYQ1FPdXSI'
  instrumentalness = 0
  key = 0
  liveness = 0.128
  loudness = -5.51
  mode = 0
  speechiness = 0.0377
  tempo = 143.023
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/4tKCjAC5dojOLYQ1FPdXSI'
  type = 'audio_features'
  uri = 'spotify:track:4tKCjAC5dojOLYQ1FPdXSI'
  valence = 0.895",0
Dont,0.509,0.515,185959,0.594,0.0172,5,0.0996,-8.813,0,0.0853,169.807,4,0.299,"AudioFeatures with fields:
  acousticness = 0.515
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/0j92tXG29XK...'
  danceability = 0.509
  duration_ms = 185959
  energy = 0.594
  id = '0j92tXG29XKV1ongcu3JjR'
  instrumentalness = 0.0172
  key = 5
  liveness = 0.0996
  loudness = -8.813
  mode = 0
  speechiness = 0.0853
  tempo = 169.807
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/0j92tXG29XKV1ongcu3JjR'
  type = 'audio_features'
  uri = 'spotify:track:0j92tXG29XKV1ongcu3JjR'
  valence = 0.299",0
Dont,0.849,0.279,260507,0.768,1.29e-06,8,0.332,-4.085,1,0.234,98.0,4,0.774,"AudioFeatures with fields:
  acousticness = 0.279
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/5iv6lZAIguX...'
  danceability = 0.849
  duration_ms = 260507
  energy = 0.768
  id = '5iv6lZAIguXWYW4Zaz5zvY'
  instrumentalness = 1.29e-06
  key = 8
  liveness = 0.332
  loudness = -4.085
  mode = 1
  speechiness = 0.234
  tempo = 98.0
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/5iv6lZAIguXWYW4Zaz5zvY'
  type = 'audio_features'
  uri = 'spotify:track:5iv6lZAIguXWYW4Zaz5zvY'
  valence = 0.774",0
Dont,0.639,0.425,351720,0.318,1.58e-06,6,0.166,-11.589,1,0.0311,91.074,4,0.594,"AudioFeatures with fields:
  acousticness = 0.425
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/3Cq5W6HTcwV...'
  danceability = 0.639
  duration_ms = 351720
  energy = 0.318
  id = '3Cq5W6HTcwVKM4g3Et1gXW'
  instrumentalness = 1.58e-06
  key = 6
  liveness = 0.166
  loudness = -11.589
  mode = 1
  speechiness = 0.0311
  tempo = 91.074
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/3Cq5W6HTcwVKM4g3Et1gXW'
  type = 'audio_features'
  uri = 'spotify:track:3Cq5W6HTcwVKM4g3Et1gXW'
  valence = 0.594",0
Dont,0.881,0.0801,315947,0.551,6.61e-05,3,0.0916,-7.277,0,0.0369,115.018,4,0.266,"AudioFeatures with fields:
  acousticness = 0.0801
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/5I1ZZ73tlzx...'
  danceability = 0.881
  duration_ms = 315947
  energy = 0.551
  id = '5I1ZZ73tlzxlS3kn9N7YWu'
  instrumentalness = 6.61e-05
  key = 3
  liveness = 0.0916
  loudness = -7.277
  mode = 0
  speechiness = 0.0369
  tempo = 115.018
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/5I1ZZ73tlzxlS3kn9N7YWu'
  type = 'audio_features'
  uri = 'spotify:track:5I1ZZ73tlzxlS3kn9N7YWu'
  valence = 0.266",0
Dont,0.811,0.0852,368053,0.545,5.11e-05,7,0.113,-8.673,0,0.0387,108.011,4,0.786,"AudioFeatures with fields:
  acousticness = 0.0852
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/1Vo53yGTBKE...'
  danceability = 0.811
  duration_ms = 368053
  energy = 0.545
  id = '1Vo53yGTBKEq3LiqS5l51u'
  instrumentalness = 5.11e-05
  key = 7
  liveness = 0.113
  loudness = -8.673
  mode = 0
  speechiness = 0.0387
  tempo = 108.011
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/1Vo53yGTBKEq3LiqS5l51u'
  type = 'audio_features'
  uri = 'spotify:track:1Vo53yGTBKEq3LiqS5l51u'
  valence = 0.786",0
Dont,0.448,0.815,356566,0.401,0.0677,5,0.0829,-13.444,1,0.0302,136.979,4,0.218,"AudioFeatures with fields:
  acousticness = 0.815
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/6E0BBhzIfOI...'
  danceability = 0.448
  duration_ms = 356566
  energy = 0.401
  id = '6E0BBhzIfOIgyPEsC4hcqO'
  instrumentalness = 0.0677
  key = 5
  liveness = 0.0829
  loudness = -13.444
  mode = 1
  speechiness = 0.0302
  tempo = 136.979
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/6E0BBhzIfOIgyPEsC4hcqO'
  type = 'audio_features'
  uri = 'spotify:track:6E0BBhzIfOIgyPEsC4hcqO'
  valence = 0.218",0
Dont,0.331,0.891,275504,0.235,2.98e-06,4,0.107,-13.816,0,0.0411,82.511,4,0.252,"AudioFeatures with fields:
  acousticness = 0.891
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/5KW8kOHmXqk...'
  danceability = 0.331
  duration_ms = 275504
  energy = 0.235
  id = '5KW8kOHmXqkDEdj6JyP3dJ'
  instrumentalness = 2.98e-06
  key = 4
  liveness = 0.107
  loudness = -13.816
  mode = 0
  speechiness = 0.0411
  tempo = 82.511
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/5KW8kOHmXqkDEdj6JyP3dJ'
  type = 'audio_features'
  uri = 'spotify:track:5KW8kOHmXqkDEdj6JyP3dJ'
  valence = 0.252",0
Dont,0.424,0.481,243600,0.579,5e-05,3,0.0974,-6.18,1,0.0398,124.827,4,0.386,"AudioFeatures with fields:
  acousticness = 0.481
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/1enJYkwGKsh...'
  danceability = 0.424
  duration_ms = 243600
  energy = 0.579
  id = '1enJYkwGKshAe4TAGXYd1V'
  instrumentalness = 5e-05
  key = 3
  liveness = 0.0974
  loudness = -6.18
  mode = 1
  speechiness = 0.0398
  tempo = 124.827
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/1enJYkwGKshAe4TAGXYd1V'
  type = 'audio_features'
  uri = 'spotify:track:1enJYkwGKshAe4TAGXYd1V'
  valence = 0.386",0
Dont,0.712,0.0694,240000,0.655,0.0,8,0.103,-7.813,1,0.0487,99.978,4,0.145,"AudioFeatures with fields:
  acousticness = 0.0694
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/6gbZvxPMHrp...'
  danceability = 0.712
  duration_ms = 240000
  energy = 0.655
  id = '6gbZvxPMHrpIA8RAscDO9D'
  instrumentalness = 0
  key = 8
  liveness = 0.103
  loudness = -7.813
  mode = 1
  speechiness = 0.0487
  tempo = 99.978
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/6gbZvxPMHrpIA8RAscDO9D'
  type = 'audio_features'
  uri = 'spotify:track:6gbZvxPMHrpIA8RAscDO9D'
  valence = 0.145",0
Dont,0.668,0.15,274225,0.793,0.0,4,0.333,-7.368,1,0.0562,81.994,4,0.543,"AudioFeatures with fields:
  acousticness = 0.15
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/29wRh7aUncj...'
  danceability = 0.668
  duration_ms = 274225
  energy = 0.793
  id = '29wRh7aUncjPkqWVkZStH2'
  instrumentalness = 0
  key = 4
  liveness = 0.333
  loudness = -7.368
  mode = 1
  speechiness = 0.0562
  tempo = 81.994
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/29wRh7aUncjPkqWVkZStH2'
  type = 'audio_features'
  uri = 'spotify:track:29wRh7aUncjPkqWVkZStH2'
  valence = 0.543",0
Dont,0.702,0.00453,285259,0.625,0.251,7,0.114,-10.451,1,0.0407,120.016,4,0.83,"AudioFeatures with fields:
  acousticness = 0.00453
  analysis_url = 'https://api.spotify.com/v1/audio-analysis/0QXa6aYJT8p...'
  danceability = 0.702
  duration_ms = 285259
  energy = 0.625
  id = '0QXa6aYJT8prTAkSHV2VHp'
  instrumentalness = 0.251
  key = 7
  liveness = 0.114
  loudness = -10.451
  mode = 1
  speechiness = 0.0407
  tempo = 120.016
  time_signature = 4
  track_href = 'https://api.spotify.com/v1/tracks/0QXa6aYJT8prTAkSHV2VHp'
  type = 'audio_features'
  uri = 'spotify:track:0QXa6aYJT8prTAkSHV2VHp'
  valence = 0.83",0
